address,allocation
0x7851001f1f6cef495784b8cbb2eaec0859fafbe3,0.0209%
0x35c1e9c7803b47af738f37beada3c7c35eed73d4,0.0342%
0x6cff836559e5af7dca1528dcb23e2692c4094a76,0.1549%
0x5b3870c9668868e42e56f5f2b1e69dc16c93aca0,0.0433%
0x84ab58ca0167ac4f9f3f1be6fa8912e5df500a1a,0.0895%
0x4ea86379a40af9e75eb1c3b863b8d553c02aa8f9,0.0453%
0xbb51b0d51eb889393914485d8aec0fba0e945cf8,0.0453%
0xafa0f969758ddc03b4ad9760c332e725d46e8f57,0.0311%
0x7f76d15c57df1a4a6a9b92a22bcb67b19ec20231,0.0928%
0xdc07abc48fdf7a1ac84db31f8d2f7151c983b984,0.0313%
